No.,번역명,원어명,작곡가,수록일,Easy lv,Normal lv,Hard lv,Expert lv,Master lv
1,Tell Your World,Tell Your World,livetune,2020. 09. 30. ,5,10,16,22,25
2,넥스트 네스트,ネクストネスト ,さつき が てんこもり,2020. 09. 30. ,6,13,18,27,30
3,멜트,メルト ,ryo,2020. 09. 30. ,7,12,17,25,29
4,하츠네 미쿠의 소실,初音ミクの消失 ,cosMo@暴走P,2020. 09. 30. ,9,15,22,30,35
5,Blessing,Blessing,halyosy,2020. 09. 30. ,5,11,16,23,27
6,alive,alive,市?るぽ,2020. 09. 30. ,6,11,16,23,27
7,로키,ロキ ,みきとP,2020. 09. 30. ,7,11,17,24,29
8,테오,テオ ,Omoi,2020. 09. 30. ,9,14,19,27,32
9,불꽃 -Reloaded-,ヒバナ -Reloaded-,DECO*27,2020. 09. 30. ,9,14,19,28,32
10,해피 신디사이저,ハッピ?シンセサイザ ,EasyPop,2020. 09. 30. ,6,11,18,24,28
11,Nostalogic,Nostalogic,yuukiss,2020. 09. 30. ,6,12,17,23,29
12,누덕누덕 스타카토,ツギハギスタッカ?ト ,とあ,2020. 09. 30. ,6,11,16,24,28
13,열등상등,劣等上等 ,Giga,2020. 09. 30. ,7,12,18,25,30
14,닥터=펑크 비트,ドクタ?＝ファンクビ?ト ,nyanyannya (大天才P),2020. 09. 30. ,8,13,19,27,32
15,프래질,フラジ?ル ,ぬゆり,2020. 09. 30. ,6,11,17,24,28
16,브리키노 댄스,ブリキノダンス ,日向電工,2020. 09. 30. ,8,13,18,25,30
17,스위트 매직,スイ?トマジック ,Junky,2020. 09. 30. ,5,12,18,24,27
18,모험의 서가 사라졌습니다!,ぼうけんのしょがきえました！ ,じ?ざすP,2020. 09. 30. ,8,13,19,26,31
19,샤를,シャルル ,バル?ン,2020. 09. 30. ,6,11,17,23,28
20,하로/하와유,ハロ／ハワユ ,ナノウ,2020. 09. 30. ,5,10,15,22,27
21,자상무색,自傷無色 ,ササノマリイ,2020. 09. 30. ,5,10,17,22,26
22,needLe,needLe,DECO*27,2020. 09. 30. ,7,12,17,25,29
